road_id,segment_id,road_type,lanes,latitude,longitude,traffic_volume,segment_length_miles
R001,R001_S001,Local,2,40.14980273530311,-97.82032644136548,8158,0.10823379771832098
R001,R001_S002,Arterial,4,40.20676566650467,-98.87565286866929,27607,0.21649165607921678
R001,R001_S003,Collector,4,39.312804199077576,-98.43649937071571,15270,0.336965827544817
R001,R001_S004,Collector,2,39.11077155027234,-98.52439295588972,18789,0.2760609974958405
R001,R001_S005,Collector,4,39.82977683675207,-99.12056390097766,9687,0.48783385110582345
R001,R001_S006,Local,3,39.935548228324045,-98.48027169540171,1833,0.2427013306774357
R001,R001_S007,Local,2,40.00334998447818,-99.46487090048554,3646,0.10220884684944097
R001,R001_S008,Arterial,2,40.14301562901637,-98.2794952793424,41039,0.1463476238100519
R001,R001_S009,Arterial,4,39.98913997332333,-98.09358402620545,41500,0.45488509703053065
R001,R001_S010,Collector,4,40.50566197683513,-99.08868530292017,18182,0.2975182385457563
R001,R001_S011,Collector,4,38.519297918637506,-98.17153882131704,14121,0.2641531692142519
R001,R001_S012,Local,3,40.01429339859359,-98.97625077856607,4146,0.4232481518257668
R001,R001_S013,Collector,5,40.28070345681336,-98.40999177083901,12191,0.1911740650167767
R001,R001_S014,Highway,3,39.66154939999286,-97.96918495040586,80182,0.2350460685614512
R001,R001_S015,Local,4,39.7665190031791,-98.3757287934644,1162,0.21393619775098704
R001,R001_S016,Local,3,39.810716969469915,-98.53491798174953,5007,0.19582475626678897
R001,R001_S017,Collector,3,39.82237234329253,-99.1563196884829,20611,0.3534118843043579
R001,R001_S018,Highway,3,39.12814341808971,-99.02475473408691,88847,0.33635717727529674
R001,R001_S019,Arterial,4,39.04234524732968,-98.54048258829064,28733,0.4698774473114251
R001,R001_S020,Collector,4,39.6728304598825,-98.7474339067749,17105,0.19674091636018068
R001,R001_S021,Local,5,39.94587189001543,-98.20179313024218,5500,0.3568126584617151
R001,R001_S022,Collector,4,40.00999811907425,-98.46460753513065,10132,0.18970772378422393
R001,R001_S023,Local,4,39.35254512067641,-98.19416452131229,6644,0.137469907131237
R001,R001_S024,Collector,4,40.76897868383204,-99.25564879287624,14041,0.3010548372420769
R001,R001_S025,Highway,3,39.702228256858675,-97.22798699226935,58936,0.47618343374116573
R001,R001_S026,Local,4,40.07693961580107,-98.64609081676427,6554,0.22676880206251107
R001,R001_S027,Highway,4,39.93707868132361,-99.19851621555871,75873,0.4509492287711822
R001,R001_S028,Local,3,39.26747683652566,-98.15286650213405,7764,0.4240453578716723
R001,R001_S029,Collector,5,40.09153274825995,-96.64177859827083,13738,0.25023318105597764
R001,R001_S030,Arterial,4,40.19922532106834,-98.49738496236573,30722,0.3363333042276043
R001,R001_S031,Arterial,5,39.59297686729624,-98.0458021492956,29157,0.12067268846744308
R001,R001_S032,Collector,6,39.95496343237419,-97.37134766639426,18315,0.2291825891764984
R001,R001_S033,Local,2,39.48948156023148,-98.15443069701655,6009,0.26358117776570794
R001,R001_S034,Collector,5,40.257999128019954,-98.7434458752508,8551,0.21197355877837715
R001,R001_S035,Collector,4,40.87418439884677,-98.06810971045309,16775,0.2896695316349301
R001,R001_S036,Arterial,4,40.20629111014906,-98.60217049519457,34159,0.34634003922088663
R001,R001_S037,Local,4,39.622690489542165,-98.52848833286873,3036,0.12822749896017194
R001,R001_S038,Arterial,4,40.059960703202805,-98.67425713594791,36008,0.3573152873769413
R002,R002_S001,Arterial,2,39.75521737115956,-98.2915683919559,30285,0.1472659310486625
R002,R002_S002,Arterial,5,40.267626550985135,-98.09987431395723,39650,0.17097581751188914
R002,R002_S003,Collector,4,40.20173778662199,-98.27314159345018,17188,0.44336510073720475
R002,R002_S004,Collector,5,39.72280849502831,-97.80714926560805,16046,0.43058298644309667
R002,R002_S005,Collector,6,40.17251814917236,-98.7359348088404,11727,0.21728430867922582
R002,R002_S006,Highway,5,40.86252703315059,-97.96933175581547,85005,0.2977681218810326
R002,R002_S007,Highway,4,39.875953476431036,-98.91955142957107,81193,0.34728722532650447
R002,R002_S008,Highway,2,39.54847595087328,-98.79056061142512,88088,0.4946558314004702
R002,R002_S009,Collector,5,39.09707338703881,-99.2853663587054,18430,0.14447899292246055
R002,R002_S010,Highway,3,39.74828510672838,-98.73748554704935,74277,0.3596841208464254
R002,R002_S011,Local,3,40.08688565563602,-97.80911342627772,5448,0.12951862589415955
R002,R002_S012,Arterial,4,39.83513970617028,-98.31992869316055,38249,0.3510232320336254
R002,R002_S013,Highway,3,40.28635834769251,-98.49591197998437,43141,0.33346244474034886
R002,R002_S014,Local,3,39.56904725374767,-99.53013978342884,6941,0.4290148971692676
R002,R002_S015,Highway,6,39.17997779769689,-97.66846237359385,49302,0.4879657591258413
R002,R002_S016,Highway,3,40.50802341743241,-98.46620506706944,61480,0.4458889505020213
R002,R002_S017,Highway,4,39.8264211951443,-98.54978120379415,76804,0.1914571222013851
R002,R002_S018,Collector,4,40.100933126998555,-98.05755552373392,13784,0.40892735669425573
R002,R002_S019,Arterial,5,40.43855607128073,-98.52818735087051,40163,0.3816319072396894
R002,R002_S020,Local,4,40.50919269237993,-98.81363389442357,7888,0.23930218680932014
